association/1,MIT
association/15,University of Oxford
association/6,Stanford University
association/14,Fermilab
association/8,Brookhaven National Laboratory
association/9,Bell Laboratories
association/12,Universita La Sapienza
association/7,University of Cambridge
association/16,University of California
association/3,CERN
association/2,Politecnico di Milano
association/13,CNR
association/4,Max Planck Institute
association/11,Politecnico di Bari
association/5,Harvard University
association/10,SLAC
