71/114,conf/ht/BeckmanBJSSTW91
f/RichardFikes,conf/cikm/BuvacF95
40/4650,conf/vmv/MullerMK03
93/4420,conf/chi/LokugeGR96
17/1790,conf/kcap/AjitSFKH05
s/MichaelESaks,conf/focs/KahnSS83
44/7004,journals/tse/GallagherL91
l/PALarson,conf/pdis/ZhuL96
61/3928,conf/icc/SaquibDMW04
97/778,conf/nph/WojtanCMT07
30/9523,conf/edbt/AnjorinCG0RS14
84/3643,conf/gecco/XuPYF13
56/10,conf/asap/AlleVRNFRNN08
11/4223,conf/sigmod/Klug82
44/9767,conf/diagrams/AhlersHHKRRS14
40/2644,conf/services/HassanSYLH09
117/7789,conf/ijcci/HoganARS12
81/3618,conf/time/DohertyK99
03/3943,conf/emnets/YoungLA07
43/2165,journals/constraints/HeinzSB13
m/AmarMukherjee,conf/ssdbm/BassiouniRM88
96/3201,conf/reconfig/BinottoFGPSL08
58/7881,conf/icc/BonillaSNB09
156/5485,conf/ghtc/MarcianoHZMGFPR14
22/7231,conf/cso/DingL09
25/2400,conf/icmcs/ParvinTCWJOOD96
04/7355,conf/ph/WealMPRGMM09
91/5645,conf/mum/AhtinenIMMHB09
23/5830,conf/cscw/WongJ15
t/MiroslawTruszczynski,journals/jair/GoldsmithLTW08
42/7852,conf/vmv/WinklerDHHH08
41/2907,conf/compgeom/BuchinDS14
34/6767,conf/icics/SangSTX06
85/9597,journals/toit/SunPMDHB13
95/5216,journals/cacm/LohmanLPS91
58/4504,conf/isbms/KyungPKK06
56/10,conf/cases/KrishnamoorthyVGANNF10
27/3263,conf/graphicsinterface/BergstromKH07
50/1918,conf/graphicsinterface/YangSWBM12
73/5679,conf/chi/HolmanB11
c/MingSyanChen,conf/sigmod/HsiaoCY94
w/CarolynRWatters,conf/hicss/KellarSWS04
y/PhilipSYu,conf/icdcs/YuCDT86
d/LindaDoyle,journals/jsac/SuttonND08
129/7577,conf/dac/TurakhiaRGM13
76/4771,conf/ewdw/KoubaLMSV94
46/2034,conf/gecco/BorgesAM10
27/2632,conf/mir/SunGNTTWP11
42/1602,conf/dexaw/TambourisHSMM98
m/BlairMacIntyre,conf/acmidc/RaduM09
b/MaryBaker,conf/sigcomm/CheshireB96
s/PSamarati,journals/tods/BertinoBFS98
p/DieterPfoser,conf/gis/EfentakisGLMP13
78/2203,conf/vissym/BurnsHWVG07
115/6259,conf/ccgrid/YuCJM12
49/3373,conf/hais/IglesiasBC13
03/4484,conf/icse/KowalLLPSV14
14/374,conf/isi/SuMZLW09
99/5082,conf/icse/CasoBGU11
44/6229,conf/aspdac/SeitaIOSM07
52/7369,conf/prib/LariosZCV14
j/SanjayJha,conf/vtc/SreenanNLJ06
23/4905,conf/er/WenguandCD91
152/9803,conf/nabic/SantosG14
41/6164,conf/pics/KeyzerG98
68/4978,conf/chi/WongsuphasawatGPWTS11
152/9802,conf/nabic/SantosG14
12/3100,conf/dac/GoraczkoLLMPZ08
25/4412,conf/apgv/HoskinsonAFDP04
01/6038,conf/nca/Schopf09
a/AmrElAbbadi,conf/sigmod/AgrawalAJ92
k/AntonioKruger,conf/chi/GehringLSGSKR10
36/3078,conf/smartnet/HinoEK00
n/BonnieANardi,conf/cscw/CarpenterNMRDBFJ04
62/1192,conf/ride/KaradimceU94
73/5078,conf/wwic/MoyaVMAGN09
r/PZRevesz,conf/edbt/ReveszCK00
01/4950,conf/adbis/BasarabGN94
01/4950,conf/adbis/BasarabGN95
01/4950,conf/adbis/BasarabGN96
75/2562,journals/tkde/BoralACCDFHSV90
69/7339,conf/ACMdis/AlmeidaCOB14
s/JaideepSrivastava,conf/icde/SrivastavaHT90
01/8107,conf/bwcca/MedhatRT12
40/6480,conf/cpaior/GomesHL06
z/CZaniolo,conf/icde/ChenZ99
148/6854,journals/isu/Haak14
47/7247,conf/egve/ValkovSBHSDK10
81/49,conf/ijcai/MosesT93
15/7048,conf/sdm/WangSZ09
30/3232,conf/cp/JegouNT06
05/4127,conf/kbse/SchulteFW10
25/3798,conf/hicss/AbbasiHO12
b/ChBohm,conf/sigmod/BerchtoldBK98
53/5006,conf/avi/HeiserPATH04
l/RobertLaurini,conf/gis/BonhommeTAL99
66/5592,conf/spawc/LiA12
43/7247,conf/interact/GenestGRMPD09
89/4049,conf/dexa/MekrasMPT93
t/HowardTrickey,conf/sigmod/ColbyGLMT96
88/6497,books/acm/kim95/KelleyGKRG95
48/9770,conf/automotiveUI/WinterGT10
17/3157,conf/dasfaa/YooKC99
g/ThomasRGruber,conf/chi/RiceFPG96
81/6692,conf/kdd/YePLJXK04
94/6965,conf/bibe/YuWZMWZ09
45/1674,conf/cec/WallinR09
139/1692,conf/ancs/HuangDXZLS13
33/6960,conf/apgv/ChihakPPPZBCK09
129/7573,conf/dac/TurakhiaRGM13
76/4280,conf/aspdac/ReiterPVBR13
59/1574,conf/infovis/WongFACT03
71/5014,conf/vl/ChungJYKT10
60/2363,conf/aspdac/YangD05
91/2329,conf/popl/DeMilloLP77
35/4372,journals/iacr/PaulMC13
97/2654,conf/visualization/UseltonDFVEG94
m/SMuthukrishnan,conf/soda/KhannaMP98
69/2088,conf/sigmod/Wright83
46/5115,journals/tcad/HuangKHSJI10
20/987,conf/reconfig/Barron-ZambranoTG11
k/HTKung,conf/sigmod/KungP79
17/4667,conf/icra/PreteRNMSN14
05/850,conf/vldb/Masunaga84
22/2500,conf/isita/Kamabe10
51/2237,conf/intetain/MihalceaS05
37/2076,conf/vldb/KeimH99
70/4776,conf/isvc/RadloffLSS11
39/4827,conf/eurogp/AnderssonSNN99
47/6264,conf/pkdd/NguyenG08
33/4756,conf/globecom/XuJHX13
82/9633,conf/conielecomp/CruzH14
89/180,conf/isese/ItkonenR05
05/5536,conf/vmv/PaolisPLPA09
12/1149,conf/gi/RochnerPBMS06
09/6789,conf/icc/FernandesTSLM12
g/JimGriffioen,conf/nossdav/WangGCS04
s/ErikSandewall,conf/afips/SandewallHSSSSU80
144/5564,conf/mc/GebhardtRR14
t/NadiaMagnenatThalmann,conf/sca/VolinoM06
30/5330,conf/iccad/LiuLCLHWB14
66/10,conf/vrcai/Chang06
03/10580,conf/tei/SalehiKMB12
90/1249,conf/compgeom/Glisse06
26/596,conf/apweb/ChangC07
01/323,conf/aspdac/YodaTK99
s/MarkusSchneider1,conf/ssd/GutingRS95
123/3172,conf/mum/BrollCEHJKLS12
60/397,journals/constraints/Olivier98
77/4357,conf/icnp/TuSCMJ08
38/2557,conf/vtc/HarashimaYH12
r/GrzegorzRozenberg,conf/icalp/Rozenberg79
82/6909,conf/kr/HorridgeP10
c/DiegoCalvanese,conf/ijcai/CalvaneseGL99
11/1837,conf/islped/OkumaCMY02
10/576,conf/cscw/Bharwani96
71/6759,conf/npar/OrchardK08
15/4504,conf/icse/WuWCZL06
n/CharlesDHansen,conf/dagstuhl/LivnatHJ03
m/ShinichiMorishita,conf/vldb/FukudaMMT96
h/RichardCHolt,journals/sigsoft/DiehlHH05
49/10735,conf/apchi/BasuKRB13
97/274,conf/ershov/CheblakovDLPZ99
03/10735,conf/gis/EfentakisGLMP13
55/4264,conf/sbm/DelameLCB11
57/6376,conf/icde/BelfordLHHKKKLMNNQRYZ86
43/401,conf/cec/WapplerW06
k/KatherineJKuchenbecker,conf/haptics/FieneKN06
04/2166,conf/digitalCities/LuffJ98
79/5821,conf/lcn/TranT05
g/MatthewLGinsberg,journals/ai/GinsbergS88
32/2948,conf/cso/LiuLG09
10/155,conf/iccd/ShimizuIIGT05
88/3734,conf/cgim/KangKK03
83/334,conf/ht/CasanovaTLNRS91
70/2173,conf/globecom/YaoWSJLZ12
b/DSBatory,conf/vldb/BatoryB84
j/ClintonLJeffery,conf/paste/JefferyZTB98
00/3010,conf/wscg/MokhtariLBODLA04
g/MatthewLGinsberg,journals/ai/Ginsberg89
131/6600,conf/mobiarch/SirisK12
57/4487,conf/chi/Brouwer-JanseBENSG92
s/VugranamCSreedhar,conf/oopsla/ChoiGSSM99
33/8115,conf/cisse/ArnoldiIPVCR08
31/7048,conf/hais/BerzosaVSTC11
53/358,conf/icse/KeaneH94
25/904,conf/lcn/AnderssonAGC08
s/LawrenceVSaxton,journals/tkde/SaxtonR90
53/306,conf/pldi/ErnstEFLP97
k/DanielAKeim,journals/vlc/AndrienkoABKKW11
53/4150,conf/dbsec/SchaeferMKL95
88/1533,conf/ijcai/Vilain85
78/6495,conf/pldi/ArnoldR01
k/DeepakKapur,conf/fsttcs/KapurSZ90
26/6860,conf/ifipPACT/AlbonesiK94
g/GarthAGibson,conf/osdi/KimbrelTPBCFGKL96
69/499,journals/cj/Joseph70
54/10119,conf/vinci/GuoLYM14
95/7777,conf/case/ChenLHLTCC14
88/3660,conf/oopsla/PenneyS87
88/359,conf/ecai/PicardiBCCDMRSV02
t/YuzuruTanaka,conf/vdb/NagasakaT91
48/1070,conf/dis/BifetG06
p/HanspeterPfister,journals/cse/SilvaEPC10
c/DDChamberlin,conf/sigmod/AstrahanC75
88/8117,conf/music/MaSWWYZH12
o/DanielOblinger,conf/aaai/CastelliBO07
50/4765,conf/aaai/MorrisN86
d/DumitruDumitrescu,conf/cec/IclanzanHCD09
67/1220,journals/dcc/PaulRM08
74/1450,conf/psivt/TsaiL09
f/PeterFankhauser,conf/ds/FankhauserN92
93/5894,journals/aim/AhaBBGDEGGGHIJKKKLMMNPRRRRSSSTMHMN10
92/7047,journals/iet-com/RomeroMBMA12
15/312,conf/esa/EpsteinK08
39/6017,conf/sca/SanokhoDMLC14
l/KJLange,conf/fsttcs/LangeN93
92/6866,conf/gecco/ZhangBG12
l/JWLloyd,journals/tods/RamamohanaraoL83
f/MFink,conf/kr/Fink12
95/7343,conf/pdp/PaganelliWW93
93/5103,conf/iswc/Martin08
a/AVAho,conf/stoc/AhoJ75
63/5157,conf/cade/BrownPP88
29/1895,conf/chi/KumarRAWKLHL10
b/LubomirBic,journals/toplas/BicL87
77/2314,conf/iui/LiuM04
90/4470,conf/iknow/0004A11
99/4535,conf/indocrypt/BanikCC14
l/BruceGLindsay1,conf/vldb/BertinoHL83
01/7561,conf/acmidc/BonsignoreHKVAD13
b/ElisaBertino,books/aw/BertinoM93
d/DJDeWitt,journals/sigmod/DeWittG90
d/JacodeBakker,conf/mfcs/Bakker77
63/6278,journals/ibmsj/SenkoAAF73
02/6844,conf/isip/JiangHZC08
53/8568,conf/cec/LiaoCT14
10/3647,conf/vdb/StandingR95
44/8940,journals/ijdc/BallPMGCC06
s/AlbrechtSchmidt1,conf/mc/SchneegassPDS13
19/1046,journals/corr/abs-1208-5554
r/EMRiseman,conf/aaai/WeymouthGHR83
84/4108,conf/aina/GohT06
19/4338,journals/jors/StoeanPSED09
02/2039,conf/pkdd/ZhangWCLL12
69/9545,conf/chi/NowackaLHJLRO13
00/505,journals/taco/IpekMSCSS08
17/8381,conf/iv/DossHSSKCST10
b/RudolfBayer,conf/icde/GuntzerKB87
b/CBeeri,conf/coopis/DogacTTETHIB00
73/5072,conf/cimaging/WohlbergT10
m/StanMatwin,conf/cade/MatwinP82
156/2852,conf/mig/RashidianPE14
118/4808,journals/corr/abs-1207-1271
97/896,conf/icra/ParkPM14
04/5537,conf/hicss/Boyer-WrightK08
m/AOMendelzon,conf/dolap/HurtadoMV99
31/589,journals/ijig/GeSPKGJ08
54/3582,conf/interact/SauerBHMPB11
09/5886,conf/hais/BankovicRBMFVAMGVN10
84/5778,conf/ami/KrayLOBBFJKLMa07
g/MichaelGertz,conf/tdb/GertzL95
