98/5351,Paraskevi K. Tzouveli
123/4859,Jesús Jiménez
32/3383,Joel L. Wolf
26/2015,Guoqiang Ge
01/3376,René Cumplido,http://ccc.inaoep.mx/~rcumplido/
73/7000,Jim Rowan
95/5833,Pasquale Rullo
54/354,John Staples
11/5285,Andrew W. McNabb
26/3244,Bart Vanthournout
19/4254,Lluís Gutierrez
m/BradleyMalin,Bradley Malin,http://hiplab.mc.vanderbilt.edu/people/malin/
t/TanelTammet,Tanel Tammet,http://www.cs.chalmers.se/pub/users/tammet/home.html
42/3495,S. Misbah Deen
54/2748,Thomas Kurpick
20/2052,Valentin Puente
s/RAServedio,Rocco A. Servedio,http://www1.cs.columbia.edu/~rocco/
90/6850,Richard A. Floyd
89/1579,Kai Daniel
140/4664,Mariluz Guenaga
09/8345,Krystyna Milian
25/2565,Alessandro Barenghi,http://home.dei.polimi.it/barenghi/doku.php
133/1278,Kate Vaisutis
b/AlainBui,Alain Bui,http://cosy.univ-reims.fr/~abui/
58/1563,Joe Sullivan
89/2040,Erich Schikuta,http://informatik.univie.ac.at/wst-team/infpers/schikue9/
80/2840,Robert M. Haralick
59/2845,Vishwani D. Agrawal
41/3341,Ulka Shrotri
40/6847,Antonia Azzini
b/RafaelBerlangaLlavori,Rafael Berlanga Llavori,http://www3.uji.es/~berlanga/
19/6448,Thierry Benoist
v/BirgitVogelHeuser,Birgit Vogel-Heuser,https://www.ais.mw.tum.de/en/staff/prof-vogel-heuser/
11/1861,Ian N. Gregory
30/2613,Tomasz Kacprzak
45/3725,Minh Binh Do,http://ti.arc.nasa.gov/profile/mbdo/
96/4490,Sebastian Steinhorst
87/4994,Mohammad Reza Kakoee
39/8190,Teo Cupaiuolo
96/1149,Xinbing Wang
09/1471,David A. Edwards
48/4367,Grace R. Woo
94/2031,Badri Narasimhan
40/5536,Huowang Chen
80/5555,Desmond C. McLernon,http://www.engineering.leeds.ac.uk/people/electronic/staff/d.c.mclernon
39/4683,David L. Brock
50/6916,Apu Kapadia
155/4074,Kuang-Yui M. Chen
96/163,Nikos Drakos
52/1931,"Antonio A. D'Amico"
80/5139,Jens F. Jensen
33/3901,Marc Bosch
99/8380,Edward Burns
k/MehmedMKantardzic,Mehmed M. Kantardzic,http://www.louisville.edu/speed/cecs/people/faculty/kantardzic/
