conf/pods/90,conf/pods/YouY90
conf/pldi/1993,conf/pldi/GroveT93
journals/sigmod,journals/sigmod/BernsteinBCDFGGHHJLMNPSU98
conf/mobilight/2011,conf/mobilight/InsaustiCBS11
conf/vissoft/2005,conf/vissoft/ClearyGEB05
conf/egpgv/2006,conf/egpgv/RothR06
conf/gis/2013,conf/gis/0003M13
journals/tc,journals/tc/GuptaCSMS13
conf/edbt/98,conf/edbt/BerchtoldBK98
conf/mie/2008,conf/mie/Cornet08
conf/dac/2013,conf/dac/AvinashBEPP13
conf/vissym/2007,conf/vissym/NeumannTZC07
conf/ride/2000,conf/ride/BuchholzZSH00
conf/iccad/2010,conf/iccad/ShihLHC10
journals/npl,journals/npl/LiWL13
conf/smi/2002,conf/smi/Prusinkiewicz02
conf/ieaaie/2012,conf/ieaaie/ParchamiAD12
conf/codes/2006,conf/codes/PasrichaPKD06
conf/ipccc/2005,conf/ipccc/FarrokhfalSP05
conf/iui/2004,conf/iui/QuWJ04
conf/hais/2010-2,conf/hais/Garrido-CantosMCG10
conf/mcpr2/2014,conf/mcpr2/LucenaMFCR14
conf/avss/2006,conf/avss/WangL06
conf/focs/FOCS24,conf/focs/BermanS83
conf/tabletop/2009,conf/tabletop/SchickCIS09
conf/adbis/95,conf/adbis/Martynov95
conf/uml/1999,conf/uml/Clark99
conf/mfdbs/87,conf/mfdbs/Benczur87
journals/ibmsj,journals/ibmsj/LeymannA94
conf/comgeo/2010,conf/comgeo/HemaniCRP10
conf/aaai/1986-1,conf/aaai/MorrisN86
conf/coopis/98,conf/coopis/HungKG98
conf/ppsn/2010-2,conf/ppsn/HosnyM10
conf/iros/2003,conf/iros/MataAER03
conf/teem/2013,conf/teem/Ferreras-FernandezMG13a
conf/comgeo/2010,conf/comgeo/AbramsFJP10
conf/iccad/1999,conf/iccad/KamonMS99
conf/graphite/2004,conf/graphite/HallerS04
conf/cpm/1998,conf/cpm/StoyeG98
conf/scopes/2014,conf/scopes/AndionART14
conf/vsl/2014kr4hc,conf/vsl/TerenzianiBLR14
conf/cec/2011,conf/cec/CastroZ11
conf/acsac/1999,conf/acsac/KarroW99
conf/dac/2001,conf/dac/MorettiHNCKABDF01
conf/ucami/2013,conf/ucami/AlcarriaARD13
conf/sas/2000,conf/sas/KnoopCJ00
conf/isvc/2010-2,conf/isvc/PeskinD10
journals/ijcis,journals/ijcis/NicaR98
conf/ism/2010,conf/ism/KhannaBKOED10
conf/dbpl/89,conf/dbpl/AlbanoDGMMOS89
conf/mwcn/2014,conf/mwcn/CabanissM14
conf/chi/2005,conf/chi/IachelloA05
conf/wsc/2007,conf/wsc/ValentinV07
conf/siggraph/1991,conf/siggraph/Muraki91
