conf/dasfaa/Gesmann97,journals/vldb/DeWittNSV96
conf/edbt/SwamiS94,conf/sigmod/MuralikrishnaD88
conf/edbt/LiuL00,conf/ipsj/ChawatheGHPUW94
conf/edbt/SimmenSM96,books/aw/DateD92
conf/dbpl/RichardsonS91,journals/tse/BlackHJLC87
conf/dolap/DinterSHB98,conf/pods/Shoshani97
conf/dasfaa/AjitomiK89,conf/aaai/Miranker87
conf/cikm/HaaseH95,journals/sigmod/Motro90
conf/edbt/BertinoFG96,journals/jiis/GuerriniBB98
conf/cikm/YangP95,journals/ijcis/ManolaHGHB92
conf/dbpl/Hidders95,conf/pods/CalvaneseL94
conf/er/FeyerT99,conf/edbt/Lehner98
conf/dbpl/FernandezPS97,conf/icdt/AbiteboulV97
conf/dasfaa/CheineyKM93,conf/sigmod/GangulyST90
conf/adbis/AmgharM96,conf/sigmod/McCarthyD89
conf/coopis/BecksSJ00,conf/sigmod/FaloutsosL95
conf/edbt/ZhouH90,conf/oodbs/HsuC88
conf/adbis/Kalinichenko99,conf/oopsla/LiskovW93
conf/edbt/Sikeler88,journals/is/SchekS86
conf/er/EstrellaKGMW98,books/acm/Kim95
conf/edbt/ChungB88,conf/vldb/Bratbergsengen84
conf/edbt/ChungRNM88,conf/vldb/BernsteinBC80
conf/cikm/Tammet95,journals/jacm/Robinson65
conf/coopis/SchenkelW00,books/aw/BernsteinHG87
conf/dasfaa/Sakai91,journals/csur/HullK87
conf/edbt/Weikum98,journals/csur/AdamY96
conf/dl/PyreddyC97,journals/tois/RusS97
conf/er/CazinJM85,conf/er/Chen81
conf/dasfaa/Al-JadirEFL95,journals/tods/Batory79
conf/dasfaa/LingS99,journals/tkde/QianW91
books/aw/BernsteinHG87,conf/sigmod/AcharyaB85
conf/adbis/SalzaBM98,conf/sigmod/DuSD95
conf/dbpl/BuhrDZ89,conf/oopsla/BlackHJL86
conf/dasfaa/KimCLK91,conf/vldb/BittonDT83
conf/dbpl/LibkinW93,conf/pods/GrumbachM93
conf/er/CasanovaCRL91,journals/tods/Chen76
conf/adbis/RumplerC97,journals/ai/Clancey85a
conf/dasfaa/HwangS93,conf/compcon/Bitton89
conf/dasfaa/KanasakiK89,journals/tois/Hewitt86
conf/coopis/MenaIG00,conf/cia/MenaIG00
conf/er/Gandhi92,books/bc/Booch90
conf/adbis/KrzyzagorskiM97,journals/vldb/AgrawalAJL95
conf/cikm/CorrelM95,conf/sigmod/BrantM93
conf/dasfaa/KimCLK91,conf/vldb/ChouD85
conf/adbis/EvrendilekDG95,conf/pos/Atwood90
conf/adbis/MorzyZ97,journals/cacm/ImielinskiM96
conf/dasfaa/RamamohanaraoSS89,books/aw/Knuth73
conf/adbis/MorzyZ97,conf/vldb/AgrawalS94
conf/er/Gandhi92,conf/ifip/DittrichGL86
conf/er/EverestBFMT87,conf/er/MarkR83
conf/edbt/HulsmannS90,journals/jlp/LloydT85
conf/edbt/AdelbergKG96,conf/vldb/RosenthalCBB89
conf/edbt/ChungRNM88,conf/sigmod/Butler87
conf/dasfaa/HanL89,conf/pods/BeeriKBR87
conf/adbis/CastelliP98,journals/tse/BatiniBS93
conf/dasfaa/HanL89,conf/eds/IoannidisW88
conf/er/CampbellEC85,persons/Codd72
conf/er/CaldieraQ81,conf/sigmod/LuskOP80
conf/dasfaa/FungKL97,conf/oodbs/KarlapalemNM92
conf/er/Al-JadirL98,conf/vldb/AlbanoBGO93
