journals/ploscb/ChangXXBP10,article,Drug Off-Target Effects Predicted Using Structural Analysis in the Context of a Metabolic Network Model.,,2010,6,,,db/journals/ploscb/ploscb6.html#ChangXXBP10,PLoS Computational Biology,
journals/es/LiY08,article,Agent-based ontology mapping and integration towards interoperability.,,2008,25,197-220,,db/journals/es/es25.html#LiY08,Expert Systems,
conf/iberspeech/CallejasGL12,inproceedings,Merging Intention and Emotion to Develop Adaptive Dialogue Systems.,IberSPEECH,2012,,168-177,,db/conf/iberspeech/iberspeech2012.html#CallejasGL12,,
conf/sara/BessiereHHKQW07,inproceedings,Reformulating Global Constraints: The Slideand RegularConstraints.,SARA,2007,,80-92,,db/conf/sara/sara2007.html#BessiereHHKQW07,,
conf/nips/KepecsR01,inproceedings,3 state neurons for contextual processing.,NIPS,2001,,229-236,,db/conf/nips/nips2001.html#KepecsR01,,
journals/ijdmb/DuCWBZL14,article,Operon prediction by Markov clustering.,,2014,9,424-443,,db/journals/ijdmb/ijdmb9.html#DuCWBZL14,IJDMB,
conf/cp/SchneiderWCB14,inproceedings,Improving Relational Consistency Algorithms Using Dynamic Relation Partitioning.,CP,2014,,688-704,,db/conf/cp/cp2014.html#SchneiderWCB14,,
conf/nips/PlessisNS14,inproceedings,Analysis of Learning from Positive and Unlabeled Data.,NIPS,2014,,703-711,,db/conf/nips/nips2014.html#PlessisNS14,,
conf/smc/LiuZSAJ03,inproceedings,I-MINDS: an application of multiagent system intelligence to on-line education.,SMC,2003,,4864-4871,,db/conf/smc/smc2003.html#LiuZSAJ03,,
conf/wcnc/LuoK05,inproceedings,On the statistics of the residual frequency error for frequency estimators [WCDMA example].,WCNC,2005,,830-835,,db/conf/wcnc/wcnc2005.html#LuoK05,,
conf/nips/WangD01,inproceedings,Stabilizing Value Function Approximation with the BFBP Algorithm.,NIPS,2001,,1587-1594,,db/conf/nips/nips2001.html#WangD01,,
conf/pakdd/ZhangZWY11,inproceedings,Selecting an Appropriate Interestingness Measure to Evaluate the Correlation between Syndrome Elements and Symptoms.,PAKDD Workshops,2011,,372-383,,db/conf/pakdd/pakdd2011-w.html#ZhangZWY11,,
journals/bioinformatics/ChenZF07,article,Molecular basis for specificity in the druggable kinome: sequence-based analysis.,,2007,23,563-572,,db/journals/bioinformatics/bioinformatics23.html#ChenZF07,Bioinformatics,
journals/jss/ChenC11,article,Software engineering education: A study on conducting collaborative senior project development.,,2011,84,479-491,,db/journals/jss/jss84.html#ChenC11,Journal of Systems and Software,
conf/icml/MihalkovaM07,inproceedings,Bottom-up learning of Markov logic network structure.,ICML,2007,,625-632,,db/conf/icml/icml2007.html#MihalkovaM07,,
conf/gecco/McPheeP08,inproceedings,Memory with memory: soft assignment in genetic programming.,GECCO,2008,,1235-1242,,db/conf/gecco/gecco2008.html#McPheeP08,,
journals/cacm/LeeHKP03,article,"IT outsourcing evolution: past, present, and future.",,2003,46,84-89,,db/journals/cacm/cacm46.html#LeeHKP03,Commun. ACM,
journals/ijitdm/FanZZC13,article,Multiple Attribute Decision Making with Multiple Formats of Attribute Aspirations: a Method Based on Prospect Theory.,,2013,12,711-728,,db/journals/ijitdm/ijitdm12.html#FanZZC13,International Journal of Information Technology and Decision Making,
journals/computer/BlumeDEGHLLPPPRT96,article,Parallel Programming with Polaris.,,1996,29,87-81,,db/journals/computer/computer29.html#BlumeDEGHLLPPPRT96,IEEE Computer,
conf/icpp/MaheswaranWS98,inproceedings,Reducing the Synchronization Overhead in Parallel Nonsymmetric Krylov Algorithms on MIMD Machines.,ICPP,1998,,405-413,,db/conf/icpp/icpp1998.html#MaheswaranWS98,,
conf/fusion/XuHH13,inproceedings,The multi-sensor PHD filter: Analytic implementation via Gaussian mixture and effective binary partition.,FUSION,2013,,945-952,,db/conf/fusion/fusion2013.html#XuHH13,,
